sentence,cluster,orig_idx,title,umap_x,umap_y
air india plane crash teen who recorded viral air india crash video very scared ahmedabad plane a 17 year old boy in ahmedabad who unwittingly captured a viral video of thursday s devastating air india ai 171 plane crash has given his statement to the police officials said on saturday.,-1,29,air india plane crash teen who recorded viral air india crash video very scared ahmedabad plane,-0.13496651,5.0224557
the teenager identified as aryan shared his experience that left him visibly distressed and struggling to cope with it.,21,29,air india plane crash teen who recorded viral air india crash video very scared ahmedabad plane,1.5567416,5.9765167
he told reporters he was simply filming the plane on his mobile phone near his rented home completely unaware that the aircraft would soon transform into a ball of fire.,10,29,air india plane crash teen who recorded viral air india crash video very scared ahmedabad plane,-1.2366048,4.1813974
his video which instantly went viral gave one of the immediate perspectives of the tragedy.,9,29,air india plane crash teen who recorded viral air india crash video very scared ahmedabad plane,-0.9165577,3.7914352
you can give your valuable feedback in the comments or email us on dna dnaindia.com.,-1,29,air india plane crash teen who recorded viral air india crash video very scared ahmedabad plane,1.6847243,4.9252334
we bring out the different angles to major national and international news stories grabbing headlines.,2,29,air india plane crash teen who recorded viral air india crash video very scared ahmedabad plane,12.117275,1.9377646
dna india presents india news international news entertainment news and gossip business and technology news education news utility news and viral news.air india plane crash teen who recorded viral air india crash video very scared ahmedabad plane,-1,29,air india plane crash teen who recorded viral air india crash video very scared ahmedabad plane,1.6745232,4.9630775
an air india flight bound for london crashed near ahmedabad s meghani area shortly after takeoff carrying over 195 passengers and crew.,22,30,the moment an air india flight crashed near ahmedabad airport,-0.5557896,7.575989
emergency teams rushed to the scene as details unfold.,1,30,the moment an air india flight crashed near ahmedabad airport,-0.66132295,2.4090183
the indian express covers a wide spectrum of national and international news including daily updates political developments election coverage gadget and mobile reviews technology updates entertainment news bollywood trends sports news and public opinions on daily topics.,8,30,the moment an air india flight crashed near ahmedabad airport,12.304447,-1.4137902
the indian express s comprehensive coverage extends to global events providing insightful analysis on international affairs.,8,30,the moment an air india flight crashed near ahmedabad airport,12.454612,-1.5569066
with a focus on both indian and global perspectives the indian express delivers top notch editorial analysis and in depth reporting.,8,30,the moment an air india flight crashed near ahmedabad airport,12.354675,-1.4522281
stay informed with the latest news trends explained and expert views from india and around the world.the moment an air india flight crashed near ahmedabad airport,26,30,the moment an air india flight crashed near ahmedabad airport,0.7525407,5.261867
the aircraft took off from ahmedabad airport and was en route to london s gatwick.,4,31,ahmedabad plane crash news live updates air india ceo campbell wilson briefing air india crash,0.8180241,9.140945
shortly after takeoff the pilot issued a mayday signal before the plane lost altitude and crashed into a hostel resulting in a massive fireball.ahmedabad plane crash news live updates air india ceo campbell wilson briefing air india crash,-1,31,ahmedabad plane crash news live updates air india ceo campbell wilson briefing air india crash,0.43574935,5.8110247
air india dreamliner crash the ahmedabad airport cctv footage showed a very short flight of 32 seconds from the time the landing gears left the runway to the time of impact.ahmedabad plane crash cctv video shows air india flight trying to take off crashing into building,25,32,ahmedabad plane crash cctv video shows air india flight trying to take off crashing into building,-0.3969679,5.376352
an air india plane has crashed in a residential area near ahmedabad.,22,33,miracle survivor ramesh found in air india plane crash jumped from seat 11a ahmedabad crash,-0.8504778,7.8110094
the ahmedabad police commissioner reports one survivor from seat 11a who jumped from the flight and is under treatment.,16,33,miracle survivor ramesh found in air india plane crash jumped from seat 11a ahmedabad crash,2.9148762,6.5597477
the plane crashed into a medical hostel mess where approximately 30 doctors were present.,19,33,miracle survivor ramesh found in air india plane crash jumped from seat 11a ahmedabad crash,-1.0378677,6.284365
gujarat chief minister bhupendra patel has reached the crash site to assess the situation.miracle survivor ramesh found in air india plane crash jumped from seat 11a ahmedabad crash,12,33,miracle survivor ramesh found in air india plane crash jumped from seat 11a ahmedabad crash,2.2446244,5.0659165
indian authorities have recovered the crucial flight recorder from air india flight 171 which crashed on thursday in ahmedabad.,15,34,air india crash investigators recover black box as families wait for answers,1.887559,3.390165
india s civil aviation minister said friday the black box recovery marks a crucial step forward in the investigation.,15,34,air india crash investigators recover black box as families wait for answers,1.7494256,3.3808994
the crash killed 241 people on board the boeing 787 dreamliner and another 78 people were killed when the plane hit a medical school dorm.,5,34,air india crash investigators recover black box as families wait for answers,1.5142032,8.45221
nathaniel dove has more on what the black box could tell us about the crash.air india crash investigators recover black box as families wait for answers,15,34,air india crash investigators recover black box as families wait for answers,1.5484406,3.6266694
seconds before one of india s deadliest aviation disasters a voice crackled over the airwaves a desperate call for help from the cockpit of air india flight ai 171.,18,35,pilot sumit sabharwal issued a mayday minutes after takeoff from ahmedabad airport n18v,0.84905976,6.064543
the pilot s haunting last message to ahmedabad air traffic control atc now paints a chilling picture of the final moments before the aircraft crashed killing at least 274 people.pilot sumit sabharwal issued a mayday minutes after takeoff from ahmedabad airport n18v,18,35,pilot sumit sabharwal issued a mayday minutes after takeoff from ahmedabad airport n18v,0.83235574,6.019394
the civil hospital in ahmedabad confirmed to abc news that ramesh vishwaskumar one passenger on the downed air india flight is alive and hospitalized there.british national survives air india plane crash condition unknown,16,36,british national survives air india plane crash condition unknown,2.8726335,6.6119957
ahmedabad plane crash greg feith a former senior air safety investigator with the us national transportation safety board ntsb draws on early video footage of the thursday crash and his decades of experience to explain what may have gone wrong with ai 717 what questions investigators will now be asking and why patience not speculation is essential in the hours and days after a crash.,13,37,air india ahmedabad crash veteran ntsb investigator greg feith on what videos reveal,0.93505305,4.4132195
the indian express covers a wide spectrum of national and international news including daily updates political developments election coverage gadget and mobile reviews technology updates entertainment news bollywood trends sports news and public opinions on daily topics.,8,37,air india ahmedabad crash veteran ntsb investigator greg feith on what videos reveal,12.342057,-1.4515058
the indian express s comprehensive coverage extends to global events providing insightful analysis on international affairs.,8,37,air india ahmedabad crash veteran ntsb investigator greg feith on what videos reveal,12.38037,-1.5051231
with a focus on both indian and global perspectives the indian express delivers top notch editorial analysis and in depth reporting.,8,37,air india ahmedabad crash veteran ntsb investigator greg feith on what videos reveal,12.349915,-1.4527332
stay informed with the latest news trends explained and expert views from india and around the world.air india ahmedabad crash veteran ntsb investigator greg feith on what videos reveal,-1,37,air india ahmedabad crash veteran ntsb investigator greg feith on what videos reveal,0.94749373,4.9819965
a doctor and his family have been named among the victims of the air india plane crash.,-1,38,doctor and family among air india crash victims,0.85813975,7.3266044
more than 240 people were killed on thursday when a boeing 787 bound for gatwick crashed shortly after take off in ahmedabad.,23,38,doctor and family among air india crash victims,0.17861602,7.5120516
dr prateek joshi a radiologist at royal derby hospital his wife and three children were on board the flight the derby hindu temple in pear tree said.,17,38,doctor and family among air india crash victims,1.5056638,6.948914
in a post on social media a spokesperson for the temple said they were praying to give strength to the bereaved family to bear this immense loss .,21,38,doctor and family among air india crash victims,1.9851048,5.9862247
here you ll find stories that move your heart and explainers interviews and documentaries on issues that you care about.doctor and family among air india crash victims,-1,38,doctor and family among air india crash victims,1.3866163,5.3560414
an air india plane bound for london crashed in a locality near ahmedabad airport on june 12 soon after taking off police said.,22,39,ahmedabad plane crash first visuals from air india flight crash site rescue ops underway n18v,-0.7569761,7.7334394
flight ai171 operating ahmedabad london gatwick was involved in an incident today 12 june 2025.ahmedabad plane crash first visuals from air india flight crash site rescue ops underway n18v,-1,39,ahmedabad plane crash first visuals from air india flight crash site rescue ops underway n18v,0.14720185,6.491886
the aircraft took off from ahmedabad airport and was en route to london s gatwick.,4,40,ahmedabad plane crash live aviation expert captain steve discusses theories behind air india crash,0.8101779,9.148299
